Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
SCARB2	3882.98	6224.56	20644.7	20514.5	23956.1	13239.9	4625.01	9501.79	8230.44	37128.5	38149.3	54669.1	39192.9	36118.3
NID2	0.0	0.0	350.85	468.45	0.0	342.09	220.66	150.47	88.79	0.0	0.0	0.0	0.0	65.71
DAG1	0.0	157.5	0.0	0.0	0.0	333.58	356.32	0.0	0.0	503.28	513.16	94.82	0.0	173.64
BOP1	0.0	0.0	827.6	844.44	490.07	496.41	178.71	525.13	446.52	503.57	551.7	683.03	454.14	393.33
UBE4A	38.88	41.31	40.17	42.71	58.94	50.04	35.08	35.79	21.25	281.3	254.78	229.23	166.82	129.83
SEPT6	984.18	1400.92	805.75	444.16	604.7	452.79	229.26	1177.4	1100.43	913.74	749.93	1125.99	1332.11	880.81
SAFB2	0.0	0.0	98.82	78.86	50.05	0.0	0.0	60.67	86.53	163.16	211.74	211.6	129.24	89.07
EIF3A	2190.89	4522.9	11296.7	10911.7	10986.7	8641.99	4531.69	8765.78	7228.17	14265.3	15134.2	17369.6	9435.77	7962.32
ARHGEF7	191.32	49.04	260.36	374.61	195.91	242.29	0.0	539.18	510.6	433.16	444.37	617.44	485.69	422.28
UBAP2L	767.02	951.91	2085.95	1717.0	1875.71	1694.55	1111.36	1736.04	1573.05	2533.05	2455.3	3568.84	1796.06	1375.5
SCRIB	397.88	302.72	1185.15	956.91	1894.97	798.88	0.0	613.16	933.78	3899.34	2875.52	4505.88	2208.9	1810.71
MLEC	958.65	1457.89	3485.89	4029.36	3072.59	3085.51	1703.07	2845.28	2167.63	4100.12	4219.73	4098.07	1819.92	1528.2
TTLL12	1099.87	1025.88	1509.96	1395.59	1892.56	1696.78	932.35	1812.43	1257.03	2041.15	2085.83	2954.62	2162.31	2233.85
MPP2	197.92	311.42	170.16	176.0	26.43	0.0	0.0	386.87	445.99	233.83	256.55	336.8	147.84	177.71
DOCK1	0.0	0.0	0.0	50.3	128.38	0.0	0.0	0.0	23.51	93.67	40.91	223.88	151.45	159.55
FHL2	0.0	66.37	238.7	508.52	239.84	316.06	111.41	83.47	84.12	83.56	93.22	108.93	79.12	63.2
CRMP1	73944.5	94341.8	43574.0	37353.5	70431.5	13868.2	6093.43	77099.3	66386.9	59963.1	61191.0	84072.3	138011.0	147947.0
DPYSL3	191011.0	284915.0	210573.0	193079.0	625097.0	113805.0	58347.6	232126.0	205130.0	779247.0	765933.0	891979.0	986759.0	578263.0
MRPL58	103.89	279.21	788.38	705.14	565.66	376.49	251.92	868.74	428.67	1111.17	1155.33	1026.35	398.09	402.16
DCTN1	2141.4	3995.21	5022.7	4262.54	5682.97	3813.59	1932.66	4031.51	3253.72	12187.6	12392.8	12058.4	8078.02	5828.83
DYNC1H1	78849.4	116254.0	110588.0	100192.0	150893.0	94128.8	49864.1	118347.0	99011.1	253474.0	250476.0	294298.0	212334.0	192565.0
EIF2B1	0.0	208.81	635.28	516.37	516.43	646.28	216.12	490.11	570.14	525.24	790.64	954.6	484.06	479.32
EIF4A2	222.61	883.53	915.92	964.64	977.81	996.41	631.19	1662.93	1280.76	1607.09	2421.19	1875.99	1186.76	1003.28
CTTN	2404.17	2957.19	11023.8	10392.3	6444.8	8759.48	5611.81	6386.76	6286.42	8054.83	8274.74	4518.77	3537.69	2388.94
FLOT2	544.46	878.38	2403.58	2289.71	4116.48	1574.59	1165.77	3756.22	2780.32	7359.62	7185.61	7094.74	4351.41	4243.46
RCN2	1160.98	2368.08	3823.59	5564.88	3856.69	3194.24	635.51	4749.0	4419.11	8808.97	11277.1	8086.86	9439.17	4972.34
TRIM25	0.0	177.29	596.56	620.38	1471.88	314.84	146.42	332.04	244.55	1688.2	1800.31	2000.7	1098.29	827.88
FLNC	8234.12	15933.6	66268.4	61686.8	50670.6	45629.8	25089.0	38595.2	35248.9	213369.0	210732.0	201433.0	18434.6	16388.0
FKBP8	281.75	807.0	1871.09	1805.27	1466.26	1072.66	369.28	1678.38	1493.42	1768.67	1885.17	1878.98	1249.15	978.19
FAM50A	0.0	0.0	0.0	645.57	0.0	0.0	0.0	0.0	142.9	1100.57	1130.93	775.1	1211.99	0.0
FRG1	0.0	358.19	443.95	445.9	310.22	449.22	377.03	401.15	300.29	405.75	360.61	324.49	177.64	181.49
GNA13	0.0	218.03	749.17	727.71	595.65	497.03	226.89	640.39	274.21	1309.76	1289.47	1041.75	874.26	611.74
GAMT	0.0	64.93	206.23	187.13	400.77	256.53	0.0	576.87	464.41	321.86	293.55	371.85	543.6	479.34
GALE	0.0	120.68	162.44	175.0	233.82	130.89	0.0	198.17	195.28	204.48	232.83	191.34	88.9	118.93
